addr,av
0xc0424caa9ecc593556aad63894c85d3e36ec81e3,11182674.327568
0x7d24e8463bd0a2ff987182de27f62d919375cd3b,11173825.519673
0x0f799faf8dd8db6ab7c7a5559fad740e02b8451e,11169760.480234
0x88b2448328f4335ad2a8cac06485c378ebe66fe3,11096549.695728
0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,10953346.310883
0xeb5a81b8faac2a4bfbd3a2c463463728fb220bae,10947234.975236
0x3d85d5f9eb363d7928a7e118f30484259f914062,10930212.794789
0xcdb7f6c9171e17a60868fc78e0eb1f370b6bfef7,10928335.077107
0xa98143608a6846453c88f29506d64a8b85532e65,10927671.048088
0x18ed0f81334d32027da587f92eab8c53a87eacbd,10916779.366347
0x9494938cdaa0e4dbf89178111a072bde6b763758,10911529.970144
0xf4311c704bcbf734fb86031dd44f3eea9cb28acd,10908333.738201
0xc179e03922afe8fa9533d3f896338b9fb87ce0c8,10882903.101633
0x1d6a840c77f81a6697b990c64fbce8d05979e4ef,10880684.730448
0x32008fcb6bbd16532afc83ca8b6c920dde22c407,10853211.776965
0xf818fa41af44a1b42ba7433f4ec472be40a2c268,10848485.482052999
0xeeb56331b6a250fe2dbc123f08bdb87aa9840464,10834743.188483
0xfa0f450d61acd11bc0f6a986260fc25c1758ccb9,10809036.655991
0xae6446c95cc4e455e9cf56f28757ab728d88e81e,10808478.05559
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,10798826.815336
0xba0898f80da916730912bb2c2a18b8d76bc8985c,10779624.329936
0x5061364f8f5776cba45726096c4938c68404162b,10770305.29859
0x555102344c2ae206d95ad15dea55ebd786f9c32a,10695583.77039
0x2ea6bbf8eaf9f73589c347067c7c43ff637b6fc5,10684240.853256
0x8ae4c5b303bc77c3aa68f2b71f37c9fa6d3b3d60,10610257.102669
0x3af03d84f51bc4daf695251d1c098407a90fa906,10588705.179971
0x051c2e6d49cf82ebc47f08f9b85800f94fc9693c,10508096.978824
0x07fd993f0fa3a185f7207adccd29f7a87404689d,10501194.607635
0x5757409b9c6946aedb175b3c89a4be512a0f8a56,10484504.3153
0x94dac1facdc4afd2614c3119447187b4143bc449,10386535.325945
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,10244533.754712
0x59444c7f164c82ce875224091085ac22455d067b,10144402.460916
0x4f2ce56828a20a9eea0c5ca082db2958e47f4fb8,10071340.668565
0xec85bc052ec5b6d6cb2b40f5caa45e39b61a77fe,10047072.121809
0xa8b0c0e877d7d6f51e988ff4a2c2fc89506e1e8c,10029364.338479
0x98190b636490f01ceb19ec6280c17ee6eec459ea,10015663.653829
0x17ff61be5782773dcf21b330c49bb4a942f5cde6,9998534.145701
0x69e914280fd1356b2abaef78439d112976bab985,9976029.887211
0xe78e109e0f5fe0f9cee1d4451755caab42ba64b6,9904486.296024
0xc4cbe9bf735a1714b3d772661508b24e2504e21f,9903520.278605
0xd6e56265890b76413d1d527eb9b75e334c0c5b42,9848120.312068
0xefdc9122a9d41792aab76c38c3424621a29afcbc,9827185.115145
0x9cd695d5a7b0c8c54e9f67a8cc433e0f3972e548,9811817.677067
0x4fe53e953f1ff4454d144cb6f4fee3f2ca9363fe,9800992.858972998
0x4051aea2475a4ec2c25f2e2efae6eae4d620874b,9799892.0792
0xc63a0f0db2c9604283172e83bd035902e0f0a3cd,9746573.15813
0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,9738551.276645
0xe0f30e5b1e5278c090a6dbcf2f61801d32058bb3,9724518.999395
0xcbd6b0dee49eea88a3343ff4e5a2423586b4c1d6,9718174.805314
0x3ca740605aa3dae4dd966325db35b6c7f392fba3,9712340.220215
0xdec491dc23b74291ec0614ebce8232cdbccd5be1,9700457.636788
0x7e23ead98212f5476768cf51b5dd76da34a35a5a,9688716.978653
0xd71f115b09cd381f6ff289dd30c3a18a3bd64ae2,9677398.742206
0x5ccd0f9555ad9a92935090416cd8f104aeafe877,9677378.554668
0xead5b7d86c681c036c59cd00a0390541061c69f2,9664017.332155999
0x41d7c8213d8513e64b67a946b47cdc59486b0951,9662714.018539
0x757df2c060ec6c7ba898fa6570aa98c1f46294ba,9636026.496898001
0xf6439ecd33b9f39de487c5932d52fa116eafc317,9628978.726575
0x56825661e867c2be7f82d2ea76bde98115446cda,9554512.262656
0x9321d8117e73b0c79035f0e87debcfd8dbb1d75a,9529965.036241
0x8cfac7c6f03e00db2f298699df96933a9694b6ab,9473408.911824
0xe357fa9fecb084f0303ff341b0bc55c89f2bb5ce,9466147.108958999
0x5385c0631c795745ea784ea2a84da63e458daef1,9456941.246759
0x9546b9d4103be41ce13483a8f299d0df0eeb181c,9455796.688922
0x5f46cba327079feb5a46799ab329f36974a89f5e,9447798.417175
0x6d35a26fd0e4e7fa6013b1b81c3c77c93b930ca7,9442504.127215
0x11ec60c4ea23c182fda02616c375ffa0a7e424d0,9436428.93291
0x4a20b9496610941053858bd0b7e92493f44c3c26,9436335.048427
0x4e31ecf36d9d57a32010fc9dd80f2ddaf5d78442,9425567.386343
0x90dbb196cacf24bd212b377a0dd62eaad5e8151b,9421071.317021
0x1e37a337ed460039d1b15bd3bc489de789768d5e,9360953.105135
0xca193fde9eb0419b7e0a51a2d7c3691a84bb8600,9291868.760634
0x452cae9818458997b309d590070b4893343bd377,9286842.019531
0x23e65fe5852f967657c2a1f78d30c8ceff25b66a,9240459.88206
0x9176481229e3208cec92faedfc06bcfd0459d2bf,9228074.717124
0x9d9da56dfb923c4a2ea2ed631870d767af000b5e,9127345.858842
0xf94a788c2d8e711f3c990c82528ea8a9af10907b,9127078.311531
0xb9c13d8164b9b298f04e446b9156224d637e9102,9117857.318941
0xa14d4cd5dd454a02d8c2fe2d76912c5493e79dc4,9099958.575274
0x364a45829e8ce2940d8cff911076d8dec40b2e73,9096202.576373
0x6252c94b6321701453bfdd416177360082186b0e,9074131.094254
0xf29c6bc1147a841519b382459a6d7a373c6b9971,9066604.192704
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,9034696.232425
0x93ab7dbdeb996806454de19c35c8247f4b2511f8,9032190.154897
0x3fbf5f839b26106b952295e6a89d0586a9599d6a,9022613.588132
0x821c41495a65ef34495ba004872130978c3ff5a5,9004287.168263
0x237152b038d88f4156a0cd71090462de7e3f0883,8968717.492985
